age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
19,266255,9,0,0,40,Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States,<=50K
32,154571,10,0,0,40,Private,Some-college,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,MISSING,<=50K
28,91299,11,0,0,45,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
37,241998,13,0,1977,40,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
42,201466,13,0,0,45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
28,196971,13,0,0,43,MISSING,Bachelors,Never-married,MISSING,Not-in-family,White,Female,United-States,<=50K
32,106014,10,5178,0,50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
39,172538,13,0,0,50,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
28,189765,10,0,0,50,State-gov,Some-college,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
40,228535,12,7298,0,36,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
44,162028,10,0,2415,6,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
33,198183,13,0,0,50,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
25,97789,13,0,0,50,Private,Bachelors,Never-married,Sales,Own-child,White,Male,United-States,<=50K
38,282461,4,0,0,35,Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
36,205555,15,0,0,40,State-gov,Prof-school,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,Philippines,<=50K
28,115945,16,0,0,18,Private,Doctorate,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
28,297735,15,0,0,90,State-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
56,105582,10,7688,0,50,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
34,48935,13,0,0,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
42,308279,13,0,0,21,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
23,32897,12,0,0,20,MISSING,Assoc-acdm,Married-civ-spouse,MISSING,Husband,White,Male,United-States,<=50K
33,26973,11,0,0,40,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,>50K
70,133536,9,0,0,28,MISSING,HS-grad,Married-civ-spouse,MISSING,Husband,White,Male,United-States,<=50K
68,128472,16,0,0,55,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
19,243941,10,0,1721,25,Private,Some-college,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,United-States,<=50K
41,365986,9,0,0,40,State-gov,HS-grad,Divorced,Protective-serv,Not-in-family,White,Male,United-States,>50K
39,267581,9,0,0,40,State-gov,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
37,230035,9,0,0,46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
45,168262,14,0,0,40,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
43,122975,9,0,0,21,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,Trinadad&Tobago,<=50K
39,143385,9,0,0,40,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
78,292019,4,0,0,20,MISSING,7th-8th,Married-civ-spouse,MISSING,Husband,White,Male,United-States,<=50K
64,114650,5,0,0,40,State-gov,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
51,153486,10,0,0,40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
71,235079,1,0,0,10,Private,Preschool,Widowed,Craft-repair,Unmarried,Black,Male,United-States,<=50K
42,210525,14,0,0,40,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
54,284129,10,0,0,45,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
42,119359,15,15024,0,40,Private,Prof-school,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,South,>50K
31,34503,11,0,0,40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
42,118686,10,0,0,20,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K
27,107236,9,0,0,40,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
59,221336,6,0,0,40,Private,10th,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,Philippines,<=50K
58,373344,2,0,0,40,Private,1st-4th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
36,219483,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
70,303588,10,0,0,20,Self-emp-not-inc,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
18,240183,9,0,0,20,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
25,118088,9,0,0,40,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,United-States,<=50K
57,171242,10,0,0,40,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
62,192236,13,0,0,40,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,>50K
36,112497,5,0,0,50,Private,9th,Married-civ-spouse,Sales,Own-child,White,Male,United-States,>50K
71,157909,10,2964,0,60,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
59,176011,10,0,0,40,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Male,United-States,<=50K
44,325461,13,0,1902,50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
37,19899,9,15024,0,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
