CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
664,Spain,Male,32,5,133705.74,1,0,0,134455.84,0
632,Germany,Male,30,2,72549.0,2,0,1,182728.8,0
850,France,Male,33,7,140956.99,1,0,0,3510.18,0
655,France,Female,36,2,147149.59,1,1,1,87816.86,0
755,France,Female,29,3,0.0,3,1,0,4733.94,0
774,France,Female,42,3,137781.65,1,0,0,199316.19,0
428,France,Female,31,2,0.0,2,1,0,54487.43,0
737,France,Male,54,9,0.0,1,1,0,83470.4,1
572,Germany,Male,51,8,97750.07,3,1,1,193014.26,1
756,Germany,Female,39,5,149363.12,2,1,1,109098.39,0
689,Spain,Male,73,1,108555.07,1,0,1,167969.15,0
413,Germany,Male,39,1,130969.77,2,1,1,158891.79,0
631,France,Male,36,1,0.0,2,0,0,133141.34,0
684,France,Male,35,3,137179.39,1,1,1,37264.11,0
555,France,Male,29,4,128744.04,1,1,1,47454.93,0
537,France,Female,53,3,0.0,1,1,1,91406.62,0
717,France,Female,36,5,0.0,2,1,1,145551.6,0
659,Spain,Female,38,9,0.0,2,1,1,35701.06,0
778,France,Male,44,8,123863.64,1,1,0,144494.94,0
850,Spain,Male,34,8,199229.14,1,0,0,68106.29,0
753,France,Male,57,7,0.0,1,1,0,159475.08,1
737,France,Male,36,9,0.0,1,0,1,188670.9,1
617,France,Female,79,7,0.0,1,1,1,160589.18,0
620,Spain,Male,21,9,0.0,2,0,0,154882.79,0
669,France,Female,44,8,96418.09,1,0,0,131609.48,1
581,France,Male,41,8,0.0,2,0,0,29737.14,0
501,France,Female,41,3,144260.5,1,1,0,172114.67,0
823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1
638,Germany,Female,41,9,144326.09,1,1,0,73979.85,1
520,France,Male,35,9,105387.89,1,1,1,25059.06,0
691,Germany,Female,41,8,109153.96,3,1,1,148848.76,1
504,France,Male,42,3,134936.97,2,0,0,135178.91,0
777,France,Female,29,9,131240.61,1,1,1,163746.09,1
552,France,Male,33,5,140931.57,1,0,1,10921.5,0
732,Germany,Male,38,5,178787.54,1,1,1,195760.53,0
752,France,Female,36,2,119912.46,1,1,0,124354.92,0
623,Spain,Female,40,4,0.0,3,1,0,31669.18,0
711,France,Female,39,3,152462.79,1,1,0,90305.97,0
525,Spain,Female,30,5,0.0,2,0,1,149195.44,0
686,France,Male,25,1,0.0,2,0,1,16459.37,0
705,Germany,Male,41,4,72252.64,2,1,1,142514.66,0
618,Spain,Female,40,8,0.0,2,1,0,80204.38,0
610,Spain,Male,46,5,91897.8,1,1,0,54394.28,0
766,Germany,Male,27,5,126285.73,1,1,0,177614.17,1
692,Germany,Male,45,6,142084.04,4,1,0,188305.85,1
451,France,Female,36,2,0.0,2,1,1,180142.42,0
788,France,Male,55,3,0.0,1,0,1,13288.46,1
554,Spain,Female,45,4,0.0,2,1,1,193412.05,0
703,France,Male,56,9,0.0,1,0,0,85547.33,1
662,Germany,Male,59,2,104568.41,1,1,0,8059.44,1
620,Germany,Female,25,1,137712.01,1,1,1,76197.05,0
735,Germany,Female,43,9,98807.45,1,0,0,184570.04,1
718,France,Female,31,1,152663.77,1,0,1,17128.64,0
493,Germany,Female,35,8,178317.6,1,0,0,197428.64,0
551,Germany,Female,30,2,143340.44,1,1,0,145796.49,0
516,France,Male,35,5,128653.59,1,1,0,127558.26,0
788,Germany,Female,57,8,93716.72,1,1,1,180150.49,1
633,Germany,Male,42,3,126041.02,1,0,1,11796.89,0
808,Spain,Female,67,10,124577.15,1,0,1,169894.4,0
687,France,Female,24,3,110495.27,1,1,0,158615.41,0
651,Spain,Female,45,8,95922.9,1,1,0,84782.42,1
653,Germany,Female,25,2,158266.42,3,1,1,199357.24,0
662,France,Male,26,0,0.0,2,0,1,72929.96,0
506,France,Male,34,7,0.0,2,0,0,115842.1,0
665,France,Female,44,7,0.0,2,1,1,66548.58,0
744,Spain,Male,39,4,95161.75,1,1,0,19409.77,0
710,France,Male,47,5,158623.14,1,0,0,83499.89,1
685,Spain,Male,31,10,135213.71,1,1,1,125777.28,0
629,France,Female,43,0,0.0,2,1,1,41263.69,0
682,Germany,Male,36,5,72373.62,2,1,0,36895.99,0
850,Spain,Female,39,10,0.0,2,1,1,143030.09,0
637,France,Female,36,9,166939.88,1,1,1,72504.76,0
648,Germany,Female,51,2,116574.84,1,1,0,4121.04,1
707,France,Female,33,2,58036.33,1,1,1,83335.78,0
570,Germany,Female,57,5,86568.75,1,0,1,103660.31,0
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
